,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
2653,37,Young Views,Lynda,Hawkins,43,Head,Single,F,Unemployed,None,Christian
2654,37,Young Views,Kevin,Hawkins,16,Son,NA,Male,Student,None,NA
2655,38,Young Views,Sophie,Norris,70,Head,Widowed,Female,Retired Advertising art director,None,Catholic
2656,39,Young Views,Terry,Smith,35,Head,Single,Male,Air cabin crew,None,Methodist
2657,40,Young Views,Hollie,Tyler,53,Head,Single,Female,Personnel officer,None,Christian
2658,41,Young Views,Frances,Thompson,52,Head,Married,Female,Pathologist,None,Christian
2659,41,Young Views,Patrick,Thompson,54,Husband,Married,Male,Health and safety inspector,None,None
2660,41,Young Views,Bruce,Thompson,27,Son,Single,Male,Dramatherapist,None,Christian
2661,42,Young Views,Darren,Dale,56,Head,Married,Male,Chief Marketing Officer,None,Christian
2662,42,Young Views,Alexandra,Dale,54,Wife,Married,Female,Emergency planning/management officer,None,Christian
2663,42,Young Views,Phillip,Wilkins,27,Son,Single,Male,Corporate investment banker,None,Christian
2664,43,Young Views,Alexander,Byrne,21,Head,Single,Male,University Student,None,Sikh
2665,43,Young Views,Jenna,Brown,19,Partner,Single,Female,Animal nutritionist,None,Sikh
2666,44,Young Views,Diane,Spencer,61,Head,Single,Female,"Radiographer, therapeutic",None,Christian
2667,44,Young Views,Matthew,Spencer,28,Son,Single,Male,Social worker,None,Christian
2668,45,Young Views,Douglas,Davis,64,Head,Married,Male,"Sales professional, IT",None,Methodist
2669,45,Young Views,Sandra,Davis,58,Wife,Married,Female,Camera operator,None,None
2670,46,Young Views,Grace,Hughes,52,Head,Single,Female,"Pharmacist, community",None,Christian
2671,47,Young Views,Lynn,Cox,50,Head,Single,female,Unemployed,None,None
2672,47,Young Views,Abdul,Cox,23,Son,Single,Male,"Journalist, magazine",None,None
2673,47,Young Views,Teresa,Cox,20,Daughter,Divorced,Female,University Student,None,None
2674,48,Young Views,Irene,Griffiths,37,Head,Single,Female,Economist,None,None
2675,49,Young Views,Andrea,Marshall,44,Head,Single,Female,Television camera operator,None,Christian
2676,50,Young Views,Carl,Wyatt,19,Head,Single,Male,University Student,None,Muslim
2677,51,Young Views,Elliott,Campbell,74,Head,Widowed,Male,"Retired Editor, commissioning",None,None
2678,52,Young Views,Liam,Hammond,24,Head,Divorced,Male,Minerals surveyor,None,Methodist
2679,53,Young Views,Nathan,Wright,69,Head,Married,Male,Retired Paediatric nurse,None,Methodist
2680,53,Young Views,Holly,Wright,67,Wife,Married,Female,Politician's assistant,None,Methodist
2681,54,Young Views,Anthony,Taylor,65,Head,Widowed,Male,Firefighter,None,Catholic
2682,55,Young Views,Kathryn,Wilson,46,Head,Single,Female,Unemployed,None,None
2683,55,Young Views,Amanda,Wilson,10,Daughter,NA,Female,Student,None,NA
2684,55,Young Views,Maurice,Wilson,8,Son,NA,Male,Student,None,NA
2685,55,Young Views,Josh,Wilson,5,Son,NA,Male,Student,None,NA
2686,56,Young Views,Alison,Kaur,19,Head,Single,Female,University Student,None,None
2687,57,Young Views,Kathleen,Thomas,73,Head,Widowed,Female,Retired Tax adviser,None,Catholic
2688,1,Harris Keys,Shannon,Hooper,45,Head,Married,Female,Management consultant,None,Catholic
2689,1,Harris Keys,Max,Hooper,43,Husband,Married,Male,Architectural technologist,None,None
2690,1,Harris Keys,Sally,Hooper,23,Daughter,Divorced,Female,"Investment banker, operational",None,Catholic
2691,1,Harris Keys,Alice,Hooper,16,Daughter,NA,Female,Student,None,NA
2692,2,Harris Keys,Dorothy,Gibson,46,Head,Married,Female,"Buyer, industrial",None,Christian
2693,2,Harris Keys,Shaun,Gibson,47,Husband,Married,Male,"Programmer, applications",None,Christian
2694,2,Harris Keys,Peter,Gibson,23,Son,Single,M,"Administrator, charities/voluntary organisations",None,Christian
2695,2,Harris Keys,Scott,Gibson,17,Son,NA,Male,Student,None,NA
2696,3,Harris Keys,Reece,Patel,50,Head,Married,Male,Unemployed,None,None
2697,3,Harris Keys,Lucy,Patel,47,Wife,Married,Female,Dance movement psychotherapist,None,None
2698,3,Harris Keys,Barbara,Patel,16,Daughter,NA,Female,Student,None,NA
2699,3,Harris Keys,Lorraine,Patel,12,Daughter,NA,Female,Student,None,NA
2700,3,Harris Keys,Rita,Patel,3,Daughter,NA,Female,Child,None,NA
2701,3,Harris Keys,Ricky,Collier,43,Lodger,Single,male,"Engineer, manufacturing",None,None
2702,4,Harris Keys,Tony,Jones,69,Head,Widowed,Male,Retired Psychiatrist,None,Methodist
2703,5,Harris Keys,Aimee,Wong,40,Head,Married,Female,Broadcast presenter,None,Catholic
2704,5,Harris Keys,Albert,Wong,44,Husband,Married,Male,Research scientist (maths),None,Catholic
2705,5,Harris Keys,Kayleigh,Scott-Wong,8,Daughter,NA,Female,Student,None,NA
2706,6,Harris Keys,Georgia,Robinson,46,Head,Single,Female,Veterinary surgeon,None,None
2707,6,Harris Keys,Brett,Johnson,51,Partner,Single,Male,Petroleum engineer,None,None
2708,6,Harris Keys,Stanley,Robinson,19,Son,Single,Male,University Student,None,None
2709,6,Harris Keys,Anne,Robinson,17,Daughter,NA,Female,Student,None,NA
2710,7,Harris Keys,Kate,Graham,52,Head,Single,Female,Legal secretary,None,Methodist
2711,7,Harris Keys,Dylan,Graham,18,Son,Single,Male,Student,None,Methodist
2712,7,Harris Keys,Joe,Graham,17,Son,NA,Male,Student,None,NA
2713,7,Harris Keys,Tom,Graham,4,Son,NA,Male,Child,None,NA
2714,8,Harris Keys,Beverley,Black,29,Head,Single,Female,Public relations account executive,None,Muslim
2715,8,Harris Keys,Sam,Roberts,30,Partner,Single,Male,English as a foreign language teacher,None,None
2716,8,Harris Keys,Simon,Black,2,Son,NA,Male,Child,None,NA
2717,8,Harris Keys,Jean,Smith,45,Lodger,Widowed,Female,Corporate treasurer,None,Christian
2718,9,Harris Keys,Eleanor,Hughes,49,Head,Married,Female,Holiday representative,None,Catholic
2719,9,Harris Keys,Alan,Hughes,47,Husband,Married,Male,Diplomatic Services operational officer,None,None
2720,9,Harris Keys,Roy,Hughes,26,Son,Single,Male,Mechanical engineer,None,None
2721,9,Harris Keys,Danielle,Hughes,23,Daughter,Divorced,Female,Site engineer,None,Catholic
2722,9,Harris Keys,Leonard,Dixon,23,Son,Single,Male,Diagnostic radiographer,None,Catholic
2723,9,Harris Keys,Gavin,Dixon,6,Son,NA,Male,Student,None,NA
2724,10,Harris Keys,Ronald,Sutton,18,Head,Single,Male,Student,None,NA
2725,10,Harris Keys,Norman,Whitehead,25,None,Single,Male,Pension scheme manager,None,None
2726,10,Harris Keys,Raymond,Taylor,52,None,Single,Male,Sport and exercise psychologist,None,Christian
2727,10,Harris Keys,Gareth,Barrett,52,None,Single,Male,Product designer,None,Methodist
2728,11,Harris Keys,Ann,Finch,43,Head,Single,Female,Pharmacologist,None,None
2729,11,Harris Keys,Craig,Williams,45,Partner,Single,Male,Barrister,None,None
2730,11,Harris Keys,Danny,Finch,18,Son,Single,Male,Student,None,None
2731,11,Harris Keys,Gillian,Finch,16,Daughter,NA,Female,Student,None,NA
2732,12,Harris Keys,Lesley,Wood,51,Head,Single,Female,Medical secretary,None,Christian
2733,12,Harris Keys,Elaine,Thomas,45,None,Single,Female,Visual merchandiser,None,None
2734,12,Harris Keys,Katherine,Fox,22,None,Single,Female,University Student,None,None
2735,12,Harris Keys,Holly,Patel,27,None,Single,Female,Therapeutic radiographer,None,Christian
2736,13,Harris Keys,Jessica,Carter,45,Head,Married,Female,"Administrator, Civil Service",None,None
2737,13,Harris Keys,Alan,Carter,47,Husband,Married,Male,Herbalist,None,None
2738,13,Harris Keys,Cheryl,Carter,21,Daughter,Divorced,Female,University Student,None,None
2739,13,Harris Keys,Brenda,Carter,5,Daughter,NA,Female,Student,None,NA
2740,14,Harris Keys,Roger,Johnston,72,Head,Married,Male,Retired Dancer,None,Christian
2741,14,Harris Keys,Lauren,Johnston,70,Wife,Married,Female,"Retired Librarian, academic",None,Christian
2742,15,Harris Keys,Molly,Harris,49,Head,Married,Female,"Surveyor, building control",None,Catholic
2743,15,Harris Keys,Douglas,Harris,52,Husband,Married,Male,Mudlogger,None,Catholic
2744,15,Harris Keys,Clifford,Harris,20,Son,Single,Male,University Student,None,Catholic
2745,15,Harris Keys,Shannon,Harris,10,Daughter,NA,Female,Student,None,NA
2746,15,Harris Keys,Joanna,Harris,7,Daughter,NA,Female,Student,None,NA
2747,16,Harris Keys,Joanne,Reynolds,31,Head,Single,Female,Information systems manager,None,None
2748,17,Harris Keys,Aaron,Knight,30,Head,Married,Male,Biomedical scientist,None,None
2749,17,Harris Keys,Anne,Knight,30,Wife,Married,Female,Nature conservation officer,None,None
2750,17,Harris Keys,Bethany,Knight,11,Daughter,NA,Female,Student,None,NA
2751,17,Harris Keys,Leanne,Knight,9,Daughter,NA,Female,Student,None,NA
2752,18,Harris Keys,Vanessa,Smith,21,Head,Single,Female,University Student,None,Muslim
2753,18,Harris Keys,Dale,Hicks,62,None,Single,Male,"Programmer, systems",None,Christian
2754,18,Harris Keys,Brian,Griffiths,34,None,Single,M,Unemployed,None,None
2755,18,Harris Keys,Neil,Jones,32,None,Single,Male,Patent examiner,None,None
2756,19,Harris Keys,Lynn,Williams,37,Head,Widowed,Female,"Teacher, primary school",None,None
2757,19,Harris Keys,Irene,Williams,10,Daughter,NA,Female,Student,None,NA
2758,19,Harris Keys,Sandra,Williams,8,Daughter,NA,Female,Student,None,NA
2759,19,Harris Keys,Alan,Williams,7,Son,NA,Male,Student,None,NA
2760,20,Harris Keys,Fiona,Wilson,54,Head,Married,Female,"Librarian, public",None,Christian
2761,20,Harris Keys,Reece,Wilson,56,Husband,Married,Male,Legal secretary,None,Christian
2762,20,Harris Keys,Dennis,Wilson,28,Son,Single,Male,Higher education lecturer,None,Christian
2763,20,Harris Keys,Stephen,Wilson,16,Son,NA,Male,Student,None,NA
2764,21,Harris Keys,Melissa,Bibi,60,Head,Married,Female,Financial adviser,None,Catholic
2765,21,Harris Keys,Benjamin,Bibi,63,Husband,Married,Male,Education administrator,None,Catholic
2766,21,Harris Keys,Bruce,Bibi,37,Son,Divorced,Male,Copy,None,None
2767,21,Harris Keys,Reece,Bibi,34,Son,Divorced,Male,Dancer,None,Catholic
2768,22,Harris Keys,Kathleen,Barker,49,Head,Single,Female,Chief of Staff,None,Christian
2769,22,Harris Keys,Lydia,Stewart,46,None,Single,Female,Insurance broker,None,Christian
2770,22,Harris Keys,Gerard,Ingram,44,None,Single,Male,Copy,None,Catholic
2771,22,Harris Keys,Sophie,Stephenson,64,None,Single,Female,Chemical engineer,None,Christian
2772,23,Harris Keys,Jessica,Allen,49,Head,Married,Female,"Accountant, chartered management",None,Christian
2773,23,Harris Keys,Owen,Allen,49,Husband,Married,Male,Unemployed,None,Christian
2774,23,Harris Keys,Sarah,Allen,16,Daughter,NA,Female,Student,None,NA
2775,23,Harris Keys,Sarah,Allen,15,Daughter,NA,Female,Student,None,NA
2776,24,Harris Keys,Charlene,Little,58,Head,Single,Female,"Production assistant, radio",None,Methodist
2777,24,Harris Keys,Jacob,Little,19,Son,Widowed,Male,University Student,None,Methodist
2778,24,Harris Keys,Georgina,Little,17,Daughter,NA,Female,Student,None,NA
2779,24,Harris Keys,Janet,Little,14,Daughter,NA,Female,Student,None,NA
2780,24,Harris Keys,Brandon,Little,12,Son,NA,m,Student,None,NA
2781,24,Harris Keys,Julia,Little,12,Daughter,NA,Female,Student,None,NA
2782,25,Harris Keys,Marie,Johnson,35,Head,Single,Female,Water engineer,None,None
2783,25,Harris Keys,Liam,Daniels,39,Partner,Single,Male,Prison officer,None,None
2784,25,Harris Keys,Angela,Johnson,4,Daughter,NA,Female,Child,None,NA
2785,26,Harris Keys,Rachel,Cook,49,Head,Married,Female,Soil scientist,None,Catholic
2786,26,Harris Keys,Joshua,Cook,44,Husband,Married,Male,Bonds trader,None,Catholic
2787,26,Harris Keys,Owen,Cook,11,Son,NA,Male,Student,None,NA
2788,26,Harris Keys,Kim,Cook,7,Daughter,NA,Female,Student,None,NA
2789,26,Harris Keys,Frederick,Cook,1,Son,NA,Male,Child,Physical Disability,NA
2790,26,Harris Keys,Sian,Cook,1,Daughter,NA,Female,Child,None,NA
2791,27,Harris Keys,Melanie,Thorpe,34,Head,Single,Female,"Geneticist, molecular",None,Catholic
2792,27,Harris Keys,Rosemary,Williams,58,None,Single,Female,Copy,None,Christian
2793,27,Harris Keys,Lydia,Bartlett,50,None,Single,Female,Translator,None,None
2794,27,Harris Keys,Leonard,Bishop,34,None,Single,M,"Surveyor, planning and development",None,None
2795,27,Harris Keys,Lynne,Butler,60,None,Single,Female,Surgeon,None,Methodist
2796,27,Harris Keys,Geoffrey,Dyer,39,None,Single,Male,"Librarian, academic",None,Christian
2797,28,Harris Keys,Mary,Green,34,Head,Married,Female,Futures trader,None,Muslim
2798,28,Harris Keys,Andrew,Green,36,Husband,Married,Male,Tour manager,None,None
2799,28,Harris Keys,Melanie,Green,16,Daughter,NA,Female,Student,None,NA
2800,29,Harris Keys,Christine,Walsh,41,Head,Married,Female,"Education officer, environmental",None,Christian
2801,29,Harris Keys,Jordan,Walsh,43,Husband,Married,Male,Paediatric nurse,Mental Disability,None
2802,29,Harris Keys,Shane,Walsh,18,Son,Single,Male,Student,None,Christian
2803,29,Harris Keys,Caroline,Walsh,15,Daughter,NA,Female,Student,None,NA
2804,29,Harris Keys,Brandon,Walsh,11,Son,NA,Male,Student,None,NA
2805,30,Harris Keys,Gareth,West,26,Head,Single,Male,Professor Emeritus,None,Jewish
2806,30,Harris Keys,Kieran,Lee,28,Lodger,Divorced,Male,Commercial/residential surveyor,None,Christian
2807,30,Harris Keys,Kyle,Talbot,52,Lodger,Single,M,Orthoptist,None,Christian
2808,30,Harris Keys,Harry,Smith,28,Sibling,Single,Male,Translator,None,Catholic
2809,31,Harris Keys,Jodie,Murphy,54,Head,Married,Female,Probation officer,None,Christian
2810,31,Harris Keys,Graham,Murphy,56,Husband,Married,Male,"Editor, film/video",None,Christian
2811,31,Harris Keys,Paula,Murphy,3,Granddaughter,NA,Female,Child,None,NA
2812,31,Harris Keys,Caroline,Murphy,3,Granddaughter,NA,Female,Child,None,NA
2813,32,Harris Keys,Gavin,Higgins,38,Head,Married,Male,Commercial horticulturist,None,None
2814,32,Harris Keys,Nicole,Higgins,39,Wife,Married,Female,"Education officer, environmental",None,None
2815,32,Harris Keys,Clifford,Higgins,16,Son,NA,Male,Student,None,NA
2816,32,Harris Keys,Julie,May-Higgins,13,Daughter,NA,Female,Student,None,NA
2817,33,Harris Keys,Charlene,George,66,Head,Married,Female,Biomedical engineer,None,Christian
2818,33,Harris Keys,Karl,George-Ward,68,Husband,Married,Male,Retired Travel agency manager,None,Christian
2819,33,Harris Keys,Alice,George-Ward,41,Daughter,Single,Female,Ambulance person,None,Christian
2820,33,Harris Keys,Colin,George-Ward,38,Son,Single,Male,Unemployed,None,Christian
2821,34,Harris Keys,Gail,Brown,46,Head,Married,f,Occupational therapist,None,None
2822,34,Harris Keys,Garry,Brown,48,Husband,Married,Male,Audiological scientist,None,None
2823,34,Harris Keys,Patricia,Brown,25,Daughter,Single,Female,Community arts worker,None,None
2824,34,Harris Keys,Joe,Brown,21,Son,Divorced,Male,University Student,None,None
2825,34,Harris Keys,Diana,Brown,12,Daughter,NA,Female,Student,None,NA
2826,35,Harris Keys,Aimee,Byrne,38,Head,Single,Female,Civil Service fast streamer,None,None
2827,35,Harris Keys,Lynne,Byrne,12,Daughter,NA,Female,Student,None,NA
2828,35,Harris Keys,Patricia,Byrne,3,Daughter,NA,Female,Child,None,NA
2829,35,Harris Keys,Ronald,Byrne,2,Son,NA,Male,Child,None,NA
2830,35,Harris Keys,Laura,Atkinson,46,Sibling,Single,Female,"Investment banker, corporate",None,Christian
2831,35,Harris Keys,Megan,Smith,27,Lodger,Single,Female,Estate manager/land agent,None,Christian
2832,36,Harris Keys,Jennifer,Savage,50,Head,Divorced,Female,Academic librarian,None,Catholic
2833,36,Harris Keys,Anthony,Savage,25,Son,Single,Male,"Surveyor, hydrographic",None,Catholic
2834,36,Harris Keys,Janet,Savage,23,Daughter,Single,Female,Consulting civil engineer,None,Catholic
2835,36,Harris Keys,Matthew,Savage,20,Son,Single,Male,University Student,None,Catholic
2836,37,Harris Keys,Linda,Morrison,78,Head,Married,Female,Retired Health promotion specialist,None,Christian
2837,37,Harris Keys,Aaron,Morrison,81,Husband,Married,Male,Retired Psychiatric nurse,None,Christian
2838,38,Harris Keys,Grace,Harding,26,Head,Married,Female,Tax adviser,None,None
2839,38,Harris Keys,Rhys,Harding,28,Husband,Married,Male,Copy,None,None
2840,38,Harris Keys,Rosemary,Harding,0,Daughter,NA,Female,Child,None,NA
2841,38,Harris Keys,Katy,Harding,0,Daughter,NA,Female,Child,None,NA
2842,38,Harris Keys,Henry,Brennan,50,Lodger,Single,Male,Clinical psychologist,None,None
2843,39,Harris Keys,Carole,Taylor,39,Head,Married,Female,Water quality scientist,None,Catholic
2844,39,Harris Keys,Bryan,Taylor,43,Husband,Married,Male,Science writer,None,Catholic
2845,39,Harris Keys,Oliver,Taylor,14,Son,NA,Male,Student,None,NA
2846,39,Harris Keys,Benjamin,Taylor,12,Son,NA,Male,Student,None,NA
2847,40,Harris Keys,Beverley,Reid,20,Head,Single,Female,University Student,None,None
2848,41,Harris Keys,Joyce,Wood,49,Head,Married,Female,Soil scientist,None,Catholic
2849,41,Harris Keys,Brian,Wood,48,Husband,Married,Male,"Psychologist, counselling",None,None
2850,41,Harris Keys,Stacey,Wood,20,Daughter,Divorced,Female,University Student,None,Catholic
2851,41,Harris Keys,Lynne,Wood,10,Daughter,NA,Female,Student,None,NA
2852,42,Harris Keys,Marcus,King,44,Head,Married,Male,Exercise physiologist,None,None
2853,42,Harris Keys,Samantha,King,41,Wife,Married,Female,Sport and exercise psychologist,None,None
2854,42,Harris Keys,Bradley,King,16,Son,NA,Male,Student,None,NA
2855,42,Harris Keys,Harry,Anderson-King,16,Son,NA,Male,Student,None,NA
2856,43,Harris Keys,Francesca,Cooper,31,Head,Single,Female,Unemployed,None,Methodist
2857,43,Harris Keys,Karl,Cooper,5,Son,NA,Male,Student,None,NA
2858,43,Harris Keys,Toby,Cooper,4,Son,NA,Male,Child,None,NA
2859,43,Harris Keys,Ann,Cooper,2,Daughter,NA,Female,Child,None,NA
2860,44,Harris Keys,Charlotte,Gordon,34,Head,Married,Female,Sports development officer,None,Muslim
2861,44,Harris Keys,Harry,Gordon,40,Husband,Married,Male,"Teacher, early years/pre",None,Muslim
2862,44,Harris Keys,Jane,Gordon,12,Daughter,NA,Female,Student,None,NA
2863,44,Harris Keys,Bethany,Gordon,8,Daughter,NA,Female,Student,None,NA
2864,45,Harris Keys,Grace,Moore,51,Head,Married,Female,Barrister's clerk,None,None
2865,45,Harris Keys,Shaun,Moore,57,Husband,Married,Male,Lawyer,None,None
2866,45,Harris Keys,Anthony,Moore,20,Son,Single,Male,University Student,None,None
2867,45,Harris Keys,Gerald,Moore,7,Son,NA,Male,Student,None,NA
2868,46,Harris Keys,Sylvia,Evans,57,Head,Married,Female,Geographical information systems officer,None,Christian
2869,46,Harris Keys,Gregory,Evans,57,Husband,Married,Male,Print production planner,None,Christian
2870,46,Harris Keys,Molly,Evans,20,Daughter,Single,Female,University Student,None,Christian
2871,46,Harris Keys,Dean,Evans,19,Son,Single,Male,University Student,None,None
2872,47,Harris Keys,Charlie,Stewart,26,Head,Married,Male,Herpetologist,None,None
2873,47,Harris Keys,Amanda,Stewart,24,Wife,Married,female,Location manager,None,None
2874,47,Harris Keys,Sylvia,Fuller-Stewart,38,Cousin,Single,Female,Fitness centre manager,None,None
2875,47,Harris Keys,Katherine,Roberts,25,Cousin,Divorced,Female,Ceramics designer,None,None
2876,47,Harris Keys,Katie,Spencer,36,Cousin,Single,Female,Acupuncturist,None,None
2877,48,Harris Keys,Brenda,Harrison,31,Head,Single,female,Architectural technologist,None,Catholic
2878,48,Harris Keys,Mohamed,Woods,29,Partner,Single,Male,"Civil engineer, contracting",None,Catholic
2879,48,Harris Keys,Marian,Harrison,2,Daughter,NA,Female,Child,None,NA
2880,48,Harris Keys,Anne,Palmer,32,Lodger,Divorced,Female,"Copywriter, advertising",None,Catholic
2881,48,Harris Keys,Clare,Jackson,52,Lodger,Single,Female,Applications developer,None,Christian
2882,49,Harris Keys,Kate,Bennett,54,Head,Single,Female,Lawyer,None,Catholic
2883,49,Harris Keys,Reece,Bennett,18,Son,Single,Male,Student,None,Catholic
2884,49,Harris Keys,Jodie,Bennett,14,Daughter,NA,Female,Student,None,NA
2885,49,Harris Keys,Ruth,Bennett,14,Daughter,NA,Female,Student,None,NA
2886,49,Harris Keys,Holly,Turner,10,Daughter,NA,Female,Student,None,NA
2887,49,Harris Keys,Heather,Turner,10,Daughter,NA,Female,Student,None,NA
2888,50,Harris Keys,Brian,Clarke,42,Head,Married,Male,Archaeologist,None,Methodist
2889,50,Harris Keys,Heather,Clarke,42,Wife,Married,Female,Local government officer,None,Methodist
2890,50,Harris Keys,Conor,Clarke,12,Adopted Son,NA,Male,Student,None,NA
2891,50,Harris Keys,Tracey,Clarke,9,Daughter,NA,Female,Student,None,NA
2892,51,Harris Keys,Stephanie,Russell,35,Head,Single,Female,Newspaper journalist,None,None
2893,51,Harris Keys,Dean,Dennis,37,Partner,Single,Male,Newspaper journalist,None,None
2894,51,Harris Keys,Barry,Russell,3,Son,NA,Male,Child,None,NA
2895,52,Harris Keys,Gillian,Gray,31,Head,Married,Female,"Geologist, engineering",None,Catholic
2896,52,Harris Keys,Lewis,Gray,35,Husband,Married,Male,Building surveyor,None,None
2897,52,Harris Keys,Amber,Gray,0,Daughter,NA,Female,Child,None,NA
2898,52,Harris Keys,Graham,Morgan,48,Lodger,Single,Male,Commercial art gallery manager,None,Catholic
2899,53,Harris Keys,Leanne,Taylor,59,Head,Married,Female,Farm manager,None,Christian
2900,53,Harris Keys,Phillip,Taylor,61,Husband,Married,Male,Probation officer,None,Christian
2901,53,Harris Keys,George,Taylor,32,Son,Single,Male,Physiological scientist,None,None
2902,53,Harris Keys,Samuel,Taylor,32,Son,Single,Male,Health and safety inspector,None,Christian
2903,54,Harris Keys,Brenda,Banks,71,Head,Married,F,"Retired Engineer, mining",None,Christian
2904,54,Harris Keys,Russell,Banks,75,Husband,Married,Male,Retired Film/video editor,None,Christian
2905,54,Harris Keys,Glenn,Banks,37,Son,Single,Male,"Teacher, early years/pre",None,None
2906,54,Harris Keys,Lynda,Banks,34,Daughter,Single,Female,"Pilot, airline",None,None
2907,55,Harris Keys,Jessica,Ward,39,Head,Single,Female,Learning disability nurse,None,Methodist
2908,56,Harris Keys,Lisa,Oliver,38,Head,Single,Female,Unemployed,None,None
2909,56,Harris Keys,Aaron,Oliver,15,Son,NA,Male,Student,None,NA
2910,57,Harris Keys,Alex,Sutton,42,Head,Married,Male,"Exhibitions officer, museum/gallery",None,Christian
2911,57,Harris Keys,Shirley,Sutton,40,Wife,Married,Female,Medical sales representative,None,None
2912,57,Harris Keys,Andrea,Sutton,4,Daughter,NA,Female,Child,None,NA
2913,57,Harris Keys,Annette,Metcalfe-Sutton,3,Daughter,NA,female,Child,None,NA
2914,57,Harris Keys,Daniel,Metcalfe-Sutton,1,Son,NA,Male,Child,None,NA
2915,57,Harris Keys,Andrea,Parkin,57,Lodger,Single,Female,Medical secretary,None,Christian
2916,58,Harris Keys,Hilary,Powell,42,Head,Single,Female,"Psychologist, sport and exercise",None,Catholic
2917,58,Harris Keys,Damian,Donnelly,43,Partner,Single,Male,Geographical information systems officer,None,Catholic
2918,58,Harris Keys,Ryan,Powell,9,Son,NA,Male,Student,None,NA
2919,58,Harris Keys,Gemma,Powell,7,Daughter,NA,Female,Student,None,NA
2920,59,Harris Keys,Vanessa,Wright,68,Head,Widowed,Female,Unemployed,None,Christian
2921,59,Harris Keys,Emily,Wright,43,Daughter,Divorced,Female,Unemployed,None,Christian
2922,59,Harris Keys,Charlie,Wright,43,Son,Single,Male,Clinical psychologist,None,Christian
2923,59,Harris Keys,Carole,Thomas-Wright,42,Daughter,Single,Female,Broadcast journalist,None,Christian
2924,60,Harris Keys,Max,Hughes,41,Head,Divorced,Male,Optometrist,None,Methodist
2925,1,Tucker Falls,Ashleigh,Smith,46,Head,Married,Female,Environmental manager,None,Jewish
2926,1,Tucker Falls,Nigel,Smith,46,Husband,Married,Male,General practice doctor,None,None
2927,1,Tucker Falls,Yvonne,Smith,27,Daughter,Single,Female,"Designer, interior/spatial",None,Jewish
2928,1,Tucker Falls,Kerry,Smith,24,Daughter,Single,Female,"Conservation officer, historic buildings",None,None
2929,1,Tucker Falls,Diana,Smith,10,Daughter,NA,Female,Student,None,NA
2930,2,Tucker Falls,Jenna,Page,28,Head,Single,Female,"Buyer, industrial",None,None
2931,2,Tucker Falls,Dylan,Lane,30,Partner,Single,Male,"Engineer, mining",None,None
2932,2,Tucker Falls,Luke,Page,0,Son,NA,Male,Child,None,NA
2933,2,Tucker Falls,Arthur,Page,0,Son,NA,Male,Child,None,NA
2934,3,Tucker Falls,Georgia,Rogers,74,Head,Widowed,F,Retired Interior and spatial designer,None,Christian
2935,4,Tucker Falls,Susan,Hancock,56,Head,Married,Female,Corporate treasurer,None,Christian
2936,4,Tucker Falls,Adrian,Hancock,59,Husband,Married,Male,"Education officer, museum",None,Christian
2937,4,Tucker Falls,Jemma,Hancock,17,Daughter,NA,Female,Student,None,NA
2938,4,Tucker Falls,Ross,Hancock,16,Son,NA,Male,Student,None,NA
2939,4,Tucker Falls,Gerald,Hancock,13,Son,NA,Male,Student,None,NA
2940,5,Tucker Falls,Jasmine,Jackson,70,Head,Married,Female,Retired Science writer,None,Christian
2941,5,Tucker Falls,Rhys,Jackson,71,Husband,Married,Male,Retired Production manager,None,Christian
2942,5,Tucker Falls,Henry,Jackson,40,Son,Single,Male,Radio producer,None,None
2943,5,Tucker Falls,Kenneth,Jackson,40,Son,Single,Male,Insurance underwriter,None,None
2944,5,Tucker Falls,Matthew,Jackson,40,Son,Single,Male,Unemployed,None,Christian
2945,5,Tucker Falls,Karl,Jackson,36,Son,Single,Male,Bonds trader,None,None
2946,6,Tucker Falls,Harriet,Lyons,64,Head,Single,Female,Child psychotherapist,None,Christian
2947,6,Tucker Falls,Janet,Lyons,39,Daughter,Single,Female,Podiatrist,None,Christian
2948,6,Tucker Falls,Leigh,Lyons,39,Son,Divorced,Male,"Loss adjuster, chartered",None,Christian
2949,6,Tucker Falls,Lynn,Lyons,36,Daughter,Divorced,Female,Health promotion specialist,None,None
2950,7,Tucker Falls,Richard,Scott,41,Head,Married,Male,Health service manager,None,Catholic
2951,7,Tucker Falls,Emily,Scott,37,Wife,Married,Female,Electrical engineer,None,None
2952,7,Tucker Falls,Danny,Scott,5,Son,NA,Male,Student,None,NA
2953,7,Tucker Falls,Amber,Scott,5,Daughter,NA,Female,Student,None,NA
2954,8,Tucker Falls,Brenda,Wright,47,Head,Married,Female,Actuary,None,Christian
2955,8,Tucker Falls,Jack,Wright,49,Husband,Married,Male,Astronomer,None,Christian
2956,8,Tucker Falls,Timothy,Wright,11,Son,NA,Male,Student,None,NA
2957,8,Tucker Falls,Joseph,Wright,8,Son,NA,male,Student,None,NA
2958,9,Tucker Falls,Jenna,Murray,57,Head,Married,Female,"Engineer, land",None,Christian
2959,9,Tucker Falls,Jeremy,Murray,59,Husband,Married,Male,Charity fundraiser,None,Christian
2960,9,Tucker Falls,Katy,Murray,31,Daughter,Single,Female,Outdoor activities/education manager,None,Christian
2961,9,Tucker Falls,Callum,Murray,27,Son,Single,M,Mudlogger,None,Christian
